s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,y,n,n,y,y,y,n,n,n,s9,0.594792685,0.497499199
n,n,n,n,n,y,n,y,n,y,y,n,s3,0.594815334,0.32701263
n,n,n,n,y,n,n,y,y,n,y,y,s9,0.595455179,0.42254902
n,n,n,n,n,n,n,n,y,y,y,n,s4,0.595913848,0.301300079
n,n,n,n,n,n,n,n,y,y,y,y,s5,0.596092078,0.430123148
n,n,n,n,n,y,y,y,y,n,y,n,s9,0.596295539,0.449184825
n,n,n,n,y,n,n,n,y,n,y,y,s9,0.596735728,0.42130719
n,n,n,y,n,n,n,y,n,y,n,n,s4,0.596844947,0.243621456
n,n,n,y,n,n,n,n,n,y,n,n,s8,0.596860181,0.569632951
n,n,n,n,y,n,y,y,y,n,y,n,s5,0.597167273,0.274273608
n,n,n,n,n,n,y,y,n,y,n,n,s3,0.597434019,0.271214261
n,n,n,y,y,n,n,n,n,y,y,n,s8,0.597800096,0.518666667
n,n,n,n,y,y,y,n,n,y,n,n,s3,0.59788903,0.402620662
n,n,n,y,n,n,y,n,n,n,n,y,s5,0.598857237,0.219796984
n,n,n,n,y,n,y,n,n,n,n,n,s2,0.598958341,0.343036486
n,n,n,n,n,n,n,y,n,n,y,n,s4,0.599777908,0.429159069
n,n,n,y,n,n,n,n,y,n,y,y,s5,0.599817144,0.416560078
n,n,n,y,n,n,y,n,n,n,y,y,s4,0.59990463,0.298806712
n,n,n,y,n,n,y,n,y,y,n,n,s7,0.600166589,0.377505095
y,n,n,n,n,n,n,n,n,n,y,n,s1,0.600424949,0.269718839
n,n,y,n,n,n,n,n,n,n,y,y,s0,0.600621899,0.091603905
n,y,y,n,n,n,n,n,n,n,n,n,s3,0.600649275,0.364482536
n,n,n,n,y,n,y,n,y,n,y,y,s9,0.601217648,0.428630905
n,n,n,n,y,y,n,n,n,n,y,n,s8,0.601316213,0.37274245
n,n,n,n,y,n,n,y,n,y,n,n,s3,0.601508315,0.374180735
n,n,n,y,n,n,y,n,n,n,y,y,s8,0.601732991,0.424356436
n,n,n,n,y,n,n,n,n,n,n,y,s5,0.602229239,0.334583032
n,n,n,y,n,n,n,y,y,n,n,n,s9,0.602256334,0.496568373
n,y,n,n,n,n,n,n,n,n,n,y,s0,0.602352663,0.362734774
n,n,n,y,y,n,n,y,n,n,n,y,s5,0.603377907,-0.016248951
n,n,n,n,y,n,y,y,n,y,n,n,s3,0.603701563,0.061926843
n,n,n,n,n,y,n,y,n,y,y,n,s8,0.605665886,0.568516129
n,n,n,y,n,n,n,y,y,n,n,n,s5,0.605983317,0.26400515
n,n,n,n,y,n,n,n,n,n,n,n,s3,0.606061163,0.282040056
n,n,y,n,n,n,n,n,n,n,y,y,s6,0.606904131,0.189190809
n,n,n,n,y,y,n,n,y,n,y,y,s9,0.607300255,0.564698068
n,n,n,n,n,y,n,y,n,n,y,n,s3,0.607521995,0.380933373
n,n,n,n,y,n,y,y,y,n,n,y,s9,0.60759816,0.492103091
n,n,n,n,n,y,n,n,n,n,y,n,s4,0.607670186,0.254517668
n,y,n,n,n,n,n,n,n,n,y,n,s4,0.608228656,0.401739169
n,n,n,n,y,y,n,n,n,n,n,n,s7,0.608619856,0.319848787
n,n,n,n,y,n,y,n,y,y,n,y,s5,0.609206045,0.410000201
n,n,n,y,n,y,y,n,n,n,y,n,s7,0.609754999,-0.344570912
n,y,n,n,y,n,n,n,n,n,n,n,s3,0.609881257,0.286928137
n,n,n,n,n,y,y,y,n,n,y,n,s4,0.610167509,0.412130612
n,n,n,n,n,n,y,n,y,y,n,n,s5,0.611002425,0.071403424
n,n,n,n,y,n,y,y,n,n,n,n,s5,0.611813779,0.260502717
n,n,y,n,n,n,n,y,n,n,n,n,s5,0.612309151,0.398875541
n,n,n,n,y,y,n,n,n,n,y,n,s9,0.613071617,0.340841888
n,n,y,y,n,n,n,n,n,y,n,n,s4,0.613566846,0.378613861
n,n,n,n,n,n,n,n,n,y,y,y,s2,0.613785326,0.4089759
n,n,n,n,y,n,y,y,n,y,y,n,s5,0.615451853,0.453512185
n,n,n,n,n,n,n,y,y,n,y,n,s6,0.616060213,0.126358453
n,n,y,n,y,n,n,n,y,n,n,n,s3,0.616421055,0.343440708
n,n,n,y,n,n,n,n,y,n,n,n,s1,0.61770685,-0.022756042
n,n,y,n,y,n,n,n,n,n,y,n,s3,0.618421726,0.309016001
n,n,y,n,y,n,n,n,n,y,n,n,s6,0.618993475,0.226256487
n,n,n,n,n,n,n,n,n,y,n,n,s3,0.619510642,0.292380368
n,n,n,n,n,n,y,n,y,y,y,y,s7,0.619663845,-0.427661064
n,n,n,n,n,n,n,y,n,y,y,n,s8,0.620588206,0.268758434
n,n,y,n,n,y,n,n,n,n,y,n,s6,0.620836925,0.416976789
n,n,n,n,y,y,y,n,n,n,y,y,s7,0.620934358,0.412289988
