s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,-,+,-,+,-,+,+,s6,0.758545711,0.285838316,4,
-,-,-,-,-,+,-,-,-,-,+,s6,0.982111576,0.285086124,2,
-,-,-,-,+,-,+,+,+,-,-,s9,0.709004262,0.284977272,4,
-,-,-,-,-,-,-,+,-,-,-,s0,0.699397984,0.284496501,1,
-,-,-,+,+,-,-,+,-,-,+,s8,0.46664896,0.284316578,4,
-,-,-,-,+,-,+,-,-,-,-,s5,0.720368888,0.282972172,2,
-,+,-,-,-,-,-,-,-,-,+,s4,0.806910558,0.281473045,2,
-,-,-,-,-,-,+,-,-,-,+,s9,0.721896564,0.281136913,2,
-,-,+,-,+,-,-,+,-,-,-,s9,0.712023996,0.278868474,3,
-,-,-,-,-,+,-,+,-,-,+,s4,0.753641181,0.278703795,3,
-,-,-,+,+,+,-,-,-,-,-,s9,0.7707504,0.27849064,3,
+,-,-,-,-,-,-,-,-,-,+,s1,0.783345716,0.278048626,2,
-,-,-,+,+,-,-,+,-,-,+,s6,1.02975166,0.277826999,4,
-,-,-,+,+,-,-,-,-,+,+,s6,0.896554529,0.277542861,4,
-,-,-,-,-,+,-,-,+,-,-,s3,0.655042769,0.276543065,2,
-,-,-,-,+,+,-,+,-,-,+,s9,0.622606814,0.276171645,4,
-,-,-,-,+,-,-,+,-,-,+,s5,0.812366683,0.275779725,3,
-,-,-,-,-,+,-,-,+,+,+,s7,0.680789638,0.275613052,4,
-,-,-,+,-,-,+,+,-,-,+,s4,0.747607655,0.275257732,4,
-,-,-,+,-,-,+,-,-,+,-,s8,0.537388942,0.275071298,3,
-,-,-,-,+,-,-,-,-,-,+,s0,0.738734446,0.274374515,2,
-,-,-,+,-,-,+,-,+,-,-,s5,0.72189904,0.274252814,3,
-,-,-,+,-,-,+,-,-,-,+,s9,0.836431603,0.274242052,3,
-,-,-,-,-,-,+,+,-,+,+,s8,0.622473005,0.272085695,4,
-,-,-,-,+,-,-,-,-,-,-,s3,0.70428302,0.272000046,1,
-,-,-,-,+,-,-,+,-,-,-,s1,0.748440707,0.271752915,2,
-,+,-,-,-,-,-,+,-,-,-,s6,0.927672853,0.27155319,2,
-,-,-,-,-,-,+,+,-,+,-,s5,0.957152232,0.271284767,3,
-,-,+,-,+,-,-,-,-,-,+,s9,0.585418166,0.270843488,3,
-,-,-,-,-,+,+,-,-,+,+,s7,0.989932917,0.270410215,4,
-,-,-,-,-,-,+,+,-,-,+,s9,0.73609619,0.269448471,3,
-,-,-,+,-,-,-,-,-,-,-,s1,0.757542594,0.26877775,1,
-,-,+,-,-,-,+,-,-,+,-,s5,0.778044013,0.26870959,3,
-,-,-,-,-,-,+,-,-,+,-,s2,0.578612589,0.267813686,2,
-,-,-,-,-,-,+,-,-,-,-,s5,0.738275487,0.267690105,1,
-,-,-,-,+,-,-,+,+,-,-,s6,0.88765301,0.267523431,3,
