s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score,numPredictors
n,y,n,n,n,n,n,n,n,n,n,n,n,y,c1,0.466449402,0.554965205,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,c2,0.403236035,0.642899665,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s1,0.928161547,-0.203083379,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s4,0.848483747,-0.004225422,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s5,0.75862436,0.375799778,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s6,0.911320503,-0.03091172,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s7,0.897101217,-0.752655354,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s8,0.855890251,-0.299754975,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,s9,0.754438501,0.324142046,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,qc,0.971665125,-0.358420583,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,c1,0.891176012,0.132486018,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,c2,0.316024312,0.69053188,2
n,n,y,y,n,n,n,n,n,n,n,n,n,n,c3,0.943194166,0.129853614,2
