s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c1,1.268025932791126,-0.3083512173887304
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c2,1.0792724202663138,-0.015231478483199945
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c3,1.1024987587419874,-0.13374140865808593
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s2,0.7616922475271498,0.13405173578492802
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s3,0.7956585491826337,0.38082025242269923
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s5,0.7624416887728489,0.08886167591136507
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s6,1.0985925359176485,0.0182804303468157
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s7,1.130249419188142,-0.12682770894648643
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s8,0.8733081918301676,-0.41517564653471895
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s9,1.0225390128817111,-0.36529213923907133
n,y,n,n,y,n,n,n,n,n,n,n,n,n,qc,1.5033195458984743,-0.6359972496558004
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c1,2.1300891299790052,-1.3901394993471263
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c2,1.3826649875193915,-0.30062159763138707
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c3,1.1473196026369576,-0.17983238725720052
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s2,1.112909084586444,0.011852420500128026
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s3,1.0108172827580135,-0.3145889130762025
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s4,0.9633165587545729,-0.36833558429854674
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s6,0.8976315776679676,0.005156550607148258
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s7,0.6343903012953724,0.4478438673522054
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s8,1.217874174667259,-0.6428919084619107
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s9,0.5807177223179997,0.155261310874254
n,y,n,n,n,y,n,n,n,n,n,n,n,n,qc,0.9562163547128953,0.05171126952339056
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c1,1.851221868437721,-0.6785672183298863
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c2,1.253320213028401,-0.11146968451385186
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c3,1.416880647318245,-0.1078816743461124
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s2,1.209918024161535,0.025694779015299263
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s3,1.1544575873041347,0.040774702174032784
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s4,0.7220058660966038,0.22893151885342844
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s5,0.8043592968883274,-0.026616699805237506
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s7,0.9142378659777146,0.3011497779390825
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s8,1.2154243793641513,-0.27474009712877123
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s9,0.8465461605782374,-0.041287835991424604
n,y,n,n,n,n,y,n,n,n,n,n,n,n,qc,1.3762245197886045,0.02245034095801091
