u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
-,+,-,-,-,-,+,-,-,-,-,-,qc,1.128901134,-0.06260537
-,+,-,-,-,-,-,+,-,-,-,-,user,0.979576397,-0.071332356
-,+,-,-,-,-,-,+,-,-,-,-,s1,0.786832224,0.309848324
-,+,-,-,-,-,-,+,-,-,-,-,s2,0.890329733,0.220423605
-,+,-,-,-,-,-,+,-,-,-,-,s3,0.772576113,0.183162429
-,+,-,-,-,-,-,+,-,-,-,-,s4,0.686903698,0.241085286
-,+,-,-,-,-,-,+,-,-,-,-,s5,0.696363366,0.089185817
-,+,-,-,-,-,-,+,-,-,-,-,s7,0.461991847,-2.614880465
-,+,-,-,-,-,-,+,-,-,-,-,s8,1.941511616,0.018106443
-,+,-,-,-,-,-,+,-,-,-,-,s9,1.32646259,-0.346372298
-,+,-,-,-,-,-,+,-,-,-,-,qc,0.997845714,-0.234546862
-,+,-,-,-,-,-,-,+,-,-,-,user,0.934770346,-0.051190059
-,+,-,-,-,-,-,-,+,-,-,-,s1,0.460267656,0.521525188
-,+,-,-,-,-,-,-,+,-,-,-,s2,1.55490011,0.1131224
-,+,-,-,-,-,-,-,+,-,-,-,s3,0.552829341,0.46161873
-,+,-,-,-,-,-,-,+,-,-,-,s4,1.086841373,0.120986231
-,+,-,-,-,-,-,-,+,-,-,-,s5,0.523506,0.229118708
-,+,-,-,-,-,-,-,+,-,-,-,s6,1.062397996,0.06668801
-,+,-,-,-,-,-,-,+,-,-,-,s8,0.400109814,0.400307612
-,+,-,-,-,-,-,-,+,-,-,-,s9,0.342288125,0.252672753
-,+,-,-,-,-,-,-,+,-,-,-,qc,1.078163818,-0.110846751
-,+,-,-,-,-,-,-,-,+,-,-,user,1.074644945,-0.065683774
-,+,-,-,-,-,-,-,-,+,-,-,s1,1.032854331,0.169164719
-,+,-,-,-,-,-,-,-,+,-,-,s2,1.044814861,0.002086208
-,+,-,-,-,-,-,-,-,+,-,-,s3,0.703827122,0.403010179
-,+,-,-,-,-,-,-,-,+,-,-,s4,0.873494941,0.10621626
-,+,-,-,-,-,-,-,-,+,-,-,s5,1.30042572,0.036155251
-,+,-,-,-,-,-,-,-,+,-,-,s6,1.232209819,0.031455481
-,+,-,-,-,-,-,-,-,+,-,-,s7,0.962978011,0.220530267
-,+,-,-,-,-,-,-,-,+,-,-,s9,0.88771332,0.138591401
-,+,-,-,-,-,-,-,-,+,-,-,qc,0.456016917,-0.082278257
-,+,-,-,-,-,-,-,-,-,+,-,user,1.15982085,-0.094712941
-,+,-,-,-,-,-,-,-,-,+,-,s1,0.669967551,0.269720814
-,+,-,-,-,-,-,-,-,-,+,-,s2,1.346100216,0.023071599
-,+,-,-,-,-,-,-,-,-,+,-,s3,1.073074345,-0.045029787
-,+,-,-,-,-,-,-,-,-,+,-,s4,0.798751089,0.07791366
-,+,-,-,-,-,-,-,-,-,+,-,s5,0.524955701,0.183738319
-,+,-,-,-,-,-,-,-,-,+,-,s6,0.803557995,0.026314232
-,+,-,-,-,-,-,-,-,-,+,-,s7,0.736121333,-10.20830151
-,+,-,-,-,-,-,-,-,-,+,-,s8,0.688467098,0.113221331
-,+,-,-,-,-,-,-,-,-,+,-,qc,1.172830566,-0.109089679
-,+,-,-,-,-,-,-,-,-,-,+,user,0.923220923,-0.02270343
-,+,-,-,-,-,-,-,-,-,-,+,s1,0.919436033,0.320874073
-,+,-,-,-,-,-,-,-,-,-,+,s2,0.883060283,0.04509961
-,+,-,-,-,-,-,-,-,-,-,+,s3,0.634232625,0.209144211
-,+,-,-,-,-,-,-,-,-,-,+,s4,0.797072603,0.335448176
-,+,-,-,-,-,-,-,-,-,-,+,s5,0.814631388,0.146592941
-,+,-,-,-,-,-,-,-,-,-,+,s6,1.735682168,-0.101866789
-,+,-,-,-,-,-,-,-,-,-,+,s7,1.104458265,-0.481467555
-,+,-,-,-,-,-,-,-,-,-,+,s8,2.109510708,-0.066856854
-,+,-,-,-,-,-,-,-,-,-,+,s9,1.039605494,0.029395193
-,-,+,+,-,-,-,-,-,-,-,-,user,0.914079945,-0.034630345
-,-,+,+,-,-,-,-,-,-,-,-,s0,0.637494402,0.444735031
-,-,+,+,-,-,-,-,-,-,-,-,s3,0.731091033,0.272792523
